"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","UK_retailPrice","weight","height","width","depth","thumbnailURL","imageURL"
3673,"Hovercraft",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,93,1,"https://brickset.com/sets/6875-1",3.9,1,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6875-1.jpg","https://images.brickset.com/sets/images/6875-1.jpg"
3674,"Alienator",1988,"Space","Action/Adventure","Blacktron","Normal",TRUE,86,1,"https://brickset.com/sets/6876-1",4,10,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6876-1.jpg","https://images.brickset.com/sets/images/6876-1.jpg"
3683,"Crater Crawler",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,100,1,"https://brickset.com/sets/6885-1",3.4,2,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6885-1.jpg","https://images.brickset.com/sets/images/6885-1.jpg"
3707,"Monorail Accessory Track",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,46,NA,"https://brickset.com/sets/6921-1",0,1,"Box","Retail",NA,34.95,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6921-1.jpg","https://images.brickset.com/sets/images/6921-1.jpg"
3709,"Interplanetary Rover",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,217,4,"https://brickset.com/sets/6925-1",3.8,1,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6925-1.jpg","https://images.brickset.com/sets/images/6925-1.jpg"
3755,"Message Intercept Base",1988,"Space","Action/Adventure","Blacktron","Normal",TRUE,569,5,"https://brickset.com/sets/6987-1",4.7,11,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6987-1.jpg","https://images.brickset.com/sets/images/6987-1.jpg"
4436,"Technic Figures",1988,"Technic","Technical","Supplementary","Normal",TRUE,10,3,"https://brickset.com/sets/8712-1",3.4,4,"Box","Retail",NA,8.25,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8712-1.jpg","https://images.brickset.com/sets/images/8712-1.jpg"
4476,"Roadster",1988,"Technic","Technical",NA,"Normal",TRUE,86,NA,"https://brickset.com/sets/8832-1",3.7,4,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8832-1.jpg","https://images.brickset.com/sets/images/8832-1.jpg"
4496,"Excavator",1988,"Technic","Technical",NA,"Normal",TRUE,326,NA,"https://brickset.com/sets/8853-1",3.7,2,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8853-1.jpg","https://images.brickset.com/sets/images/8853-1.jpg"
4498,"Prop Plane",1988,"Technic","Technical",NA,"Normal",TRUE,569,1,"https://brickset.com/sets/8855-1",4.2,4,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8855-1.jpg","https://images.brickset.com/sets/images/8855-1.jpg"
4508,"Test Car",1988,"Technic","Technical",NA,"Normal",TRUE,900,NA,"https://brickset.com/sets/8865-1",4.4,9,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8865-1.jpg","https://images.brickset.com/sets/images/8865-1.jpg"
4866,"Large Building Plates",1988,"Dacta","Educational",NA,"Normal",TRUE,2,NA,"https://brickset.com/sets/9058-1",0,1,"{Not specified}","{Not specified}",NA,22,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/9058-1.jpg","https://images.brickset.com/sets/images/9058-1.jpg"
22625,"Circus",1988,"Dacta","Educational","Duplo","Normal",TRUE,60,6,"https://brickset.com/sets/9155-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/9155-1.jpg","https://images.brickset.com/sets/images/9155-1.jpg"
22623,"Farm Scene Mosaics",1988,"Dacta","Educational","Duplo","Normal",TRUE,81,NA,"https://brickset.com/sets/9220-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/9220-1.jpg","https://images.brickset.com/sets/images/9220-1.jpg"
22624,"Town Scene Mosaics",1988,"Dacta","Educational","Duplo","Normal",TRUE,81,NA,"https://brickset.com/sets/9221-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/9221-1.jpg","https://images.brickset.com/sets/images/9221-1.jpg"
27347,"Duplo Play wall",1988,"Gear","Miscellaneous","Furniture","Gear",TRUE,NA,NA,"https://brickset.com/sets/9850-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA
